(E: 0,C: 0) Reloj 6.22692 | Clientes en cola: 1
(E: 0,C: 0) Reloj 18.51891 | Clientes en cola: 2
(E: 0,C: 1) Reloj 1.02440 | Clientes en cola: 1
(E: 0,C: 1) Reloj 11.58636 | Clientes en cola: 2
(E: 0,C: 2) Reloj 8.22900 | Clientes en cola: 1
(E: 0,C: 3) Reloj 4.10024 | Clientes en cola: 1
(E: 0,C: 3) Reloj 7.24767 | Clientes en cola: 2
(E: 0,C: 4) Reloj 2.13044 | Clientes en cola: 1
(E: 0,C: 4) Reloj 2.35070 | Clientes en cola: 2
(E: 0,C: 5) Reloj 10.12074 | Clientes en cola: 1
(E: 0,C: 5) Reloj 11.36969 | Clientes en cola: 2
(E: 0,C: 6) Reloj 25.51760 | Clientes en cola: 1
(E: 0,C: 7) Reloj 13.18318 | Clientes en cola: 1
(E: 0,C: 7) Reloj 25.03923 | Clientes en cola: 2
(E: 0,C: 8) Reloj 22.78518 | Clientes en cola: 1
(E: 0,C: 9) Reloj 12.14926 | Clientes en cola: 1
(E: 0,C: 9) Reloj 15.25930 | Clientes en cola: 2
(E: 0,C: 10) Reloj 3.20169 | Clientes en cola: 1
(E: 0,C: 10) Reloj 8.30723 | Clientes en cola: 2
(E: 0,C: 11) Reloj 22.47615 | Clientes en cola: 1
(E: 0,C: 12) Reloj 13.47112 | Clientes en cola: 1
(E: 0,C: 13) Reloj 21.63545 | Clientes en cola: 1
(E: 0,C: 14) Reloj 58.07947 | Clientes en cola: 1
(E: 0,C: 15) Reloj 9.85785 | Clientes en cola: 1
(E: 0,C: 15) Reloj 15.25636 | Clientes en cola: 2
(E: 0,C: 16) Reloj 1.21852 | Clientes en cola: 1
(E: 0,C: 16) Reloj 4.76053 | Clientes en cola: 2
(E: 0,C: 16) Reloj 12.97085 | Clientes en cola: 6
(E: 0,C: 17) Reloj 70.22635 | Clientes en cola: 1
(E: 0,C: 18) Reloj 5.54317 | Clientes en cola: 1
(E: 0,C: 18) Reloj 16.65548 | Clientes en cola: 2
(E: 0,C: 19) Reloj 24.03791 | Clientes en cola: 1
(E: 0,C: 20) Reloj 17.70974 | Clientes en cola: 1
(E: 0,C: 21) Reloj 8.95335 | Clientes en cola: 1
(E: 0,C: 21) Reloj 15.67874 | Clientes en cola: 2
(E: 0,C: 22) Reloj 1.07027 | Clientes en cola: 1
(E: 0,C: 23) Reloj 59.30799 | Clientes en cola: 1
