(E: 0,C: 0) Reloj 1.79022 | Clientes en cola: 1
(E: 0,C: 1) Reloj 6.83876 | Clientes en cola: 1
(E: 0,C: 2) Reloj 25.81276 | Clientes en cola: 1
(E: 0,C: 3) Reloj 84.57357 | Clientes en cola: 1
(E: 0,C: 4) Reloj 44.49821 | Clientes en cola: 1
(E: 0,C: 5) Reloj 29.75430 | Clientes en cola: 1
(E: 0,C: 6) Reloj 11.16151 | Clientes en cola: 1
(E: 0,C: 6) Reloj 16.08315 | Clientes en cola: 2
(E: 0,C: 7) Reloj 34.18075 | Clientes en cola: 1
(E: 0,C: 8) Reloj 7.06499 | Clientes en cola: 1
(E: 0,C: 9) Reloj 28.55553 | Clientes en cola: 1
(E: 0,C: 10) Reloj 6.56726 | Clientes en cola: 1
(E: 0,C: 11) Reloj 3.32953 | Clientes en cola: 1
(E: 0,C: 11) Reloj 9.46716 | Clientes en cola: 2
(E: 0,C: 11) Reloj 11.71539 | Clientes en cola: 7
(E: 0,C: 11) Reloj 13.96361 | Clientes en cola: 13
(E: 0,C: 12) Reloj 7.10540 | Clientes en cola: 1
(E: 0,C: 12) Reloj 16.09595 | Clientes en cola: 2
(E: 0,C: 13) Reloj 10.49497 | Clientes en cola: 1
(E: 0,C: 13) Reloj 22.74061 | Clientes en cola: 2
(E: 0,C: 14) Reloj 18.89546 | Clientes en cola: 1
(E: 0,C: 15) Reloj 4.23408 | Clientes en cola: 1
(E: 0,C: 15) Reloj 8.41378 | Clientes en cola: 2
(E: 0,C: 16) Reloj 37.83802 | Clientes en cola: 1
(E: 0,C: 17) Reloj 46.36857 | Clientes en cola: 1
(E: 0,C: 18) Reloj 6.83569 | Clientes en cola: 1
(E: 0,C: 19) Reloj 10.72464 | Clientes en cola: 1
(E: 0,C: 19) Reloj 23.64220 | Clientes en cola: 2
(E: 0,C: 20) Reloj 3.64488 | Clientes en cola: 1
(E: 0,C: 20) Reloj 6.53200 | Clientes en cola: 2
(E: 0,C: 20) Reloj 14.06578 | Clientes en cola: 5
(E: 0,C: 20) Reloj 18.76603 | Clientes en cola: 7
(E: 0,C: 21) Reloj 0.61989 | Clientes en cola: 1
(E: 0,C: 21) Reloj 1.86059 | Clientes en cola: 2
(E: 0,C: 21) Reloj 13.88784 | Clientes en cola: 4
(E: 0,C: 22) Reloj 20.26559 | Clientes en cola: 1
(E: 0,C: 23) Reloj 34.58662 | Clientes en cola: 1
(E: 0,C: 24) Reloj 21.24003 | Clientes en cola: 1
(E: 0,C: 25) Reloj 29.44418 | Clientes en cola: 1
(E: 0,C: 26) Reloj 7.89706 | Clientes en cola: 1
(E: 0,C: 26) Reloj 13.43744 | Clientes en cola: 2
(E: 0,C: 27) Reloj 4.39408 | Clientes en cola: 1
(E: 0,C: 27) Reloj 8.84019 | Clientes en cola: 2
(E: 0,C: 28) Reloj 22.82783 | Clientes en cola: 1
(E: 0,C: 29) Reloj 12.63737 | Clientes en cola: 1
(E: 0,C: 29) Reloj 25.78540 | Clientes en cola: 2
(E: 0,C: 30) Reloj 0.26321 | Clientes en cola: 1
(E: 0,C: 30) Reloj 3.74081 | Clientes en cola: 2
(E: 0,C: 30) Reloj 10.93005 | Clientes en cola: 8
(E: 0,C: 31) Reloj 8.91455 | Clientes en cola: 1
(E: 0,C: 31) Reloj 11.00768 | Clientes en cola: 2
(E: 0,C: 32) Reloj 8.18710 | Clientes en cola: 1
(E: 0,C: 33) Reloj 5.40711 | Clientes en cola: 1
(E: 0,C: 33) Reloj 6.60282 | Clientes en cola: 2
(E: 0,C: 33) Reloj 11.60765 | Clientes en cola: 4
(E: 0,C: 34) Reloj 80.61107 | Clientes en cola: 1
(E: 0,C: 35) Reloj 75.03846 | Clientes en cola: 1
(E: 0,C: 36) Reloj 77.58420 | Clientes en cola: 1
(E: 0,C: 37) Reloj 6.03243 | Clientes en cola: 1
(E: 0,C: 37) Reloj 8.35873 | Clientes en cola: 2
(E: 0,C: 37) Reloj 14.52061 | Clientes en cola: 4
(E: 0,C: 38) Reloj 0.10817 | Clientes en cola: 1
(E: 0,C: 38) Reloj 0.58232 | Clientes en cola: 2
(E: 0,C: 38) Reloj 12.87400 | Clientes en cola: 8
